kod: ORNEK
sirket: Örnek Çimento Sanayi A.Ş.
donem: 2025/12
onceki_donem: 2024/12
esas: tms29
hasilat: 17.360.000.000
brut_kar: 3.820.000.000
faaliyet_kari: 1.910.000.000
favok: 2.780.000.000
net_kar: 1.640.000.000
faaliyet_disi_net: 620.000.000
aktif_toplami: 39.500.000.000
ozkaynak: 21.300.000.000
donen_varliklar: 12.800.000.000
kisa_vadeli_yukumlulukler: 9.400.000.000
ticari_alacaklar: 4.550.000.000
stoklar: 3.100.000.000
net_borc: 7.900.000.000
faaliyet_nakit_akisi: 1.620.000.000
yatirim_harcamasi: 2.100.000.000
finansman_gideri: 1.180.000.000
onceki.hasilat: 12.400.000.000
onceki.brut_kar: 3.100.000.000
onceki.faaliyet_kari: 1.860.000.000
onceki.favok: 2.480.000.000
onceki.net_kar: 1.240.000.000
onceki.faaliyet_disi_net: 180.000.000
onceki.aktif_toplami: 28.000.000.000
onceki.ozkaynak: 16.800.000.000
onceki.donen_varliklar: 9.200.000.000
onceki.kisa_vadeli_yukumlulukler: 6.100.000.000
onceki.ticari_alacaklar: 2.600.000.000
onceki.stoklar: 1.900.000.000
onceki.net_borc: 4.200.000.000
onceki.faaliyet_nakit_akisi: 2.150.000.000
onceki.yatirim_harcamasi: 900.000.000
onceki.finansman_gideri: 520.000.000
gecmis_buyumeler: 28,0; 34,0; 31,0; 25,0
